C,Si,Mn,P,S,Cr,V,N,Ac1,Ac3,Mean extraction temperature,Roughing opening temperature,Roughing final temperature,intermediate billet thickness,Finishing opening temperature,Finishing rolling temperature,Cooling outlet temperature,Cooling rate,1,2,YS
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1191,1187,1131,124.96,873,847,538,15,0.50016,0.603473111,607
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1191,1187,1131,124.96,873,847,538,15,0.50016,0.603473111,607
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1193,1170,1116,125,871,844,601,10,0.5,0.6036,616
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1193,1170,1116,125,871,844,601,10,0.5,0.6036,616
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1187,1178,1122,124.97,873,848,563,11,0.50012,0.603744899,622
0.136,0.17,1.58,0.014,0.01,0.24,0.093,0.0143,722.156,869.601,1187,1178,1122,124.97,873,848,563,11,0.50012,0.603744899,622
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1184,1165,1112,124.98,872,850,578,10,0.50008,0.60393663,510
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1184,1165,1112,124.98,872,850,578,10,0.50008,0.60393663,539
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1184,1165,1112,124.98,872,850,578,10,0.50008,0.60393663,510
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1187,1174,1121,124.97,874,848,566,10,0.50012,0.603904937,507
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1187,1174,1121,124.97,874,848,566,10,0.50012,0.603904937,588
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1187,1174,1121,124.97,874,848,566,10,0.50012,0.603904937,507
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1183,1159,1110,124.96,871,848,565,10,0.50016,0.603873239,525
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1183,1159,1110,124.96,871,848,565,10,0.50016,0.603873239,525
0.092,0.26,1.57,0.013,0.009,0.23,0.093,0.0136,723.896,885.101,1183,1159,1110,124.96,871,848,565,10,0.50016,0.603873239,616
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1185,1178,1121,124.96,873,848,557,10,0.50016,0.603873239,583
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1185,1178,1121,124.96,873,848,557,10,0.50016,0.603873239,583
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1185,1176,1123,125,874,850,577,10,0.5,0.604,594
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1185,1176,1123,125,874,850,577,10,0.5,0.604,594
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1193,1187,1127,124.97,874,848,545,11,0.50012,0.603904937,596
0.102,0.22,1.58,0.016,0.004,0.21,0.094,0.0139,722.527,880.866,1193,1187,1127,124.97,874,848,545,11,0.50012,0.603904937,596
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1191,1189,1133,124.97,873,848,580,10,0.50012,0.603904937,592
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1191,1189,1133,124.97,873,848,580,10,0.50012,0.603904937,592
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1190,1179,1120,124.97,875,839,572,10,0.50012,0.603904937,585
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1190,1179,1120,124.97,875,839,572,10,0.50012,0.603904937,585
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1190,1183,1123,125.01,872,838,586,10,0.49996,0.604031677,620
0.116,0.18,1.58,0.014,0.006,0.22,0.095,0.0128,721.968,875.731,1190,1183,1123,125.01,872,838,586,10,0.49996,0.604031677,620
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1187,1176,1120,131.96,875,838,539,10,0.47216,0.548726887,556
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1187,1176,1120,131.96,875,838,539,10,0.47216,0.548726887,556
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1188,1179,1120,132,859,827,572,9,0.472,0.548863636,596
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1188,1179,1120,132,859,827,572,9,0.472,0.548863636,596
0.088,0.18,1.57,0.014,0.008,0.21,0.096,0.0125,721.777,882.796,1188,1183,1127,131.99,874,841,548,10,0.47204,0.548829457,536
0.088,0.18,1.57,0.014,0.008,0.21,0.096,0.0125,721.777,882.796,1188,1183,1127,131.99,874,841,548,10,0.47204,0.548829457,536
0.088,0.18,1.57,0.014,0.008,0.21,0.096,0.0125,721.777,882.796,1191,1182,1125,132.02,872,839,576,9,0.47192,0.54893198,570
0.088,0.18,1.57,0.014,0.008,0.21,0.096,0.0125,721.777,882.796,1191,1182,1125,132.02,872,839,576,9,0.47192,0.54893198,570
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1191,1185,1127,131.99,873,839,550,9,0.47204,0.548829457,562
0.087,0.22,1.56,0.014,0.01,0.22,0.093,0.0144,723.01,884.917,1191,1185,1127,131.99,873,839,550,9,0.47204,0.548829457,562
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1188,1177,1122,125.04,873,838,587,11,0.49984,0.604126679,566
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1188,1177,1122,125.04,873,838,587,11,0.49984,0.604126679,566
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1188,1177,1122,125.04,873,847,587,11,0.49984,0.604126679,566
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1188,1177,1122,125.04,873,847,587,11,0.49984,0.604126679,566
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1194,1184,1128,124.99,873,838,563,13,0.50004,0.603968317,567
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1194,1184,1128,124.99,873,838,563,13,0.50004,0.603968317,567
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1194,1184,1128,124.99,873,845,563,13,0.50004,0.603968317,567
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1194,1184,1128,124.99,873,845,563,13,0.50004,0.603968317,567
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1192,1165,1115,124.99,873,842,577,12,0.50004,0.603968317,583
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1192,1165,1115,124.99,873,842,577,12,0.50004,0.603968317,583
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1192,1165,1115,124.99,873,850,577,12,0.50004,0.603968317,583
0.086,0.19,1.57,0.012,0.006,0.23,0.092,0.0173,722.571,883.662,1192,1165,1115,124.99,873,850,577,12,0.50004,0.603968317,583
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1181,1152,1103,125.02,867,838,584,12,0.49992,0.60406335,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1181,1152,1103,125.02,867,838,584,12,0.49992,0.60406335,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1181,1152,1103,125.02,867,847,584,12,0.49992,0.60406335,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1181,1152,1103,125.02,867,847,584,12,0.49992,0.60406335,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1179,1162,1111,125.06,873,840,583,13,0.49976,0.604189989,589
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1179,1162,1111,125.06,873,840,583,13,0.49976,0.604189989,589
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1179,1162,1111,125.06,873,844,583,13,0.49976,0.604189989,589
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1179,1162,1111,125.06,873,844,583,13,0.49976,0.604189989,589
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1191,1181,1125,124.99,873,835,567,13,0.50004,0.603968317,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1191,1181,1125,124.99,873,835,567,13,0.50004,0.603968317,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1191,1181,1125,124.99,873,843,567,13,0.50004,0.603968317,591
0.089,0.17,1.61,0.015,0.009,0.22,0.098,0.0175,721.406,881.386,1191,1181,1125,124.99,873,843,567,13,0.50004,0.603968317,591
0.079,0.18,1.62,0.011,0.01,0.23,0.093,0.0133,721.725,883.501,1194,1185,1129,132.01,874,834,547,11,0.47196,0.548897811,587
0.079,0.18,1.62,0.011,0.01,0.23,0.093,0.0133,721.725,883.501,1194,1185,1129,132.01,874,834,547,11,0.47196,0.548897811,587
